ID,DrillID,Depth,TestsTypeID,Value
0,0,0.0,3.0,24.5
1,0,0.015,3.0,34.75
2,0,0.03,3.0,43.38
3,0,0.046,3.0,46.69
4,0,0.061,3.0,49.34
5,0,0.076,3.0,49.67
6,0,0.091,3.0,51.34
7,0,0.107,3.0,48.17
8,0,0.122,3.0,49.58
9,0,0.137,3.0,49.29
10,0,0.152,3.0,53.65
11,0,0.168,3.0,52.82
12,0,0.183,3.0,33.91
13,0,0.198,3.0,49.46
14,0,0.213,3.0,137.23
15,0,0.229,3.0,153.61
16,0,0.244,3.0,221.81
17,0,0.259,3.0,165.4
18,0,0.274,3.0,150.2
19,0,0.29,3.0,146.6
20,0,0.30475,2.0,230.6203214
21,0,0.305,3.0,158.8
22,0,0.32,3.0,155.4
23,0,0.335,3.0,158.7
24,0,0.351,3.0,180.85
25,0,0.366,3.0,170.93
26,0,0.381,3.0,166.46
27,0,0.396,3.0,162.23
28,0,0.411,3.0,183.62
29,0,0.427,3.0,191.31
30,0,0.442,3.0,159.65
31,0,0.457,3.0,174.83
32,0,0.472,3.0,169.41
33,0,0.488,3.0,158.21
34,0,0.503,3.0,179.6
35,0,0.518,3.0,186.3
36,0,0.533,3.0,160.15
37,0,0.549,3.0,141.58
38,0,0.564,3.0,140.79
39,0,0.579,3.0,157.89
40,0,0.594,3.0,189.95
41,0,0.6095,2.0,224.3907535
42,0,0.61,3.0,157.47
43,0,0.625,3.0,167.24
44,0,0.64,3.0,130.12
45,0,0.655,3.0,123.06
46,0,0.671,3.0,169.03
47,0,0.686,3.0,122.51
48,0,0.701,3.0,70.76
49,0,0.716,3.0,45.38
50,0,0.732,3.0,41.69
51,0,0.747,3.0,54.34
52,0,0.762,3.0,63.67
53,0,0.777,3.0,44.84
54,0,0.792,3.0,90.92
55,0,0.808,3.0,56.46
56,0,0.823,3.0,36.73
57,0,0.838,3.0,49.36
58,0,0.853,3.0,53.18
59,0,0.869,3.0,46.59
60,0,0.884,3.0,52.3
61,0,0.899,3.0,65.65
62,0,0.914,3.0,66.82
63,0,0.91425,2.0,231.6383973
64,0,0.93,3.0,67.91
65,0,0.945,3.0,68.96
66,0,0.96,3.0,76.98
67,0,0.975,3.0,58.49
68,0,0.991,3.0,43.74
69,0,1.006,3.0,62.37
70,0,1.021,3.0,49.69
71,0,1.036,3.0,52.84
72,0,1.052,3.0,51.42
73,0,1.067,3.0,56.71
74,0,1.082,3.0,75.86
75,0,1.097,3.0,71.93
76,0,1.113,3.0,91.96
77,0,1.128,3.0,121.48
78,0,1.143,3.0,167.24
79,0,1.158,3.0,183.62
80,0,1.173,3.0,188.81
81,0,1.189,3.0,184.91
82,0,1.204,3.0,123.45
83,0,1.219,2.0,245.6611226
84,0,1.219,3.0,82.23
85,0,1.234,3.0,54.61
86,0,1.25,3.0,51.31
87,0,1.265,3.0,52.65
88,0,1.28,3.0,54.33
89,0,1.295,3.0,58.66
90,0,1.311,3.0,57.33
91,0,1.326,3.0,62.67
92,0,1.341,3.0,57.83
93,0,1.356,3.0,59.42
94,0,1.372,3.0,63.21
95,0,1.387,3.0,54.1
96,0,1.402,3.0,48.05
97,0,1.417,3.0,40.53
98,0,1.433,3.0,70.26
99,0,1.448,3.0,104.13
100,0,1.463,3.0,141.07
101,0,1.478,3.0,159.53
102,0,1.494,3.0,159.27
103,0,1.509,3.0,137.13
104,0,1.52375,2.0,207.1380198
105,0,1.524,3.0,116.07
106,0,1.539,3.0,111.03
107,0,1.554,3.0,107.52
108,0,1.57,3.0,106.76
109,0,1.585,3.0,109.88
110,0,1.6,3.0,110.44
111,0,1.615,3.0,108.22
112,0,1.631,3.0,110.61
113,0,1.646,3.0,113.3
114,0,1.66,0.0,0.000495243
115,0,1.661,3.0,110.65
116,0,1.676,3.0,106.83
117,0,1.692,3.0,114.91
118,0,1.707,3.0,118.96
119,0,1.722,3.0,116.48
120,0,1.737,3.0,114.74
121,0,1.753,3.0,111.87
122,0,1.768,3.0,110.43
123,0,1.783,3.0,110.22
124,0,1.798,3.0,112.11
125,0,1.814,3.0,110.55
126,0,1.8285,2.0,66.40704913
127,0,1.829,3.0,117.78
128,0,1.844,3.0,117.39
129,0,1.859,3.0,123.69
130,0,1.875,3.0,142.85
131,0,1.89,3.0,170.42
132,0,1.905,3.0,153.71
133,0,1.92,3.0,135.86
134,0,1.935,3.0,137.43
135,0,1.951,3.0,152.71
136,0,1.966,3.0,163.86
137,0,1.981,3.0,192.93
138,0,1.996,3.0,205.96
139,0,2.012,3.0,195.98
140,0,2.027,3.0,170.99
141,0,2.042,3.0,159.5
142,0,2.057,3.0,149.75
143,0,2.073,3.0,138.87
144,0,2.088,3.0,138.94
145,0,2.1,0.0,6.74e-05
146,0,2.103,3.0,144.97
147,0,2.118,3.0,141.98
148,0,2.13325,2.0,123.7879448
149,0,2.134,3.0,140.99
150,0,2.149,3.0,133.5
151,0,2.164,3.0,129.75
152,0,2.179,3.0,129.87
153,0,2.195,3.0,138.94
154,0,2.21,3.0,133.97
155,0,2.225,3.0,138.48
156,0,2.24,3.0,143.24
157,0,2.256,3.0,151.62
158,0,2.271,3.0,157.81
159,0,2.286,3.0,155.41
160,0,2.301,3.0,143.2
161,0,2.316,3.0,154.6
162,0,2.332,3.0,150.3
163,0,2.347,3.0,150.65
164,0,2.362,3.0,139.33
165,0,2.377,3.0,144.16
166,0,2.393,3.0,130.58
167,0,2.408,3.0,132.79
168,0,2.423,3.0,129.9
169,0,2.438,3.0,130.95
170,0,2.438,2.0,110.8647674
171,0,2.454,3.0,157.97
172,0,2.469,3.0,158.99
173,0,2.484,3.0,172.99
174,0,2.499,3.0,166.0
175,0,2.515,3.0,155.0
176,0,2.53,0.0,3.79e-05
177,0,2.53,3.0,141.0
178,0,2.545,3.0,140.0
179,0,2.56,3.0,137.5
180,0,2.576,3.0,122.75
181,0,2.591,3.0,126.87
182,0,2.606,3.0,122.44
183,0,2.621,3.0,129.72
184,0,2.637,3.0,131.86
185,0,2.652,3.0,141.43
186,0,2.667,3.0,128.71
187,0,2.682,3.0,120.36
188,0,2.697,3.0,121.68
189,0,2.71,0.0,2.21e-05
190,0,2.713,3.0,135.84
191,0,2.728,3.0,134.92
192,0,2.74275,2.0,88.98087624
193,0,2.743,3.0,146.46
194,0,2.758,3.0,139.73
195,0,2.774,3.0,138.36
196,0,2.789,3.0,138.18
197,0,2.804,3.0,125.09
198,0,2.819,3.0,115.55
199,0,2.835,3.0,125.27
200,0,2.85,3.0,120.64
201,0,2.865,3.0,117.32
202,0,2.88,3.0,120.16
203,0,2.896,3.0,110.08
204,0,2.911,3.0,105.04
205,0,2.926,3.0,101.52
206,0,2.941,3.0,100.26
207,0,2.957,3.0,110.63
208,0,2.972,3.0,111.81
209,0,2.987,3.0,114.91
210,0,3.0,0.0,5.974e-05
211,0,3.002,3.0,120.45
212,0,3.018,3.0,127.23
213,0,3.033,3.0,139.11
214,0,3.0475,2.0,153.4808036
215,0,3.048,3.0,132.56
216,0,3.063,3.0,120.28
217,0,3.078,3.0,109.64
218,0,3.094,3.0,112.32
219,0,3.109,3.0,116.16
220,0,3.124,3.0,121.08
221,0,3.139,3.0,129.54
222,0,3.155,3.0,139.77
223,0,3.17,3.0,143.88
224,0,3.185,3.0,150.44
225,0,3.2,3.0,134.72
226,0,3.216,3.0,117.36
227,0,3.231,3.0,108.68
228,0,3.246,3.0,107.84
229,0,3.261,3.0,124.92
230,0,3.277,3.0,102.46
231,0,3.292,3.0,94.73
232,0,3.307,3.0,108.37
233,0,3.322,3.0,107.18
234,0,3.338,3.0,102.09
235,0,3.35225,2.0,204.6097496
236,0,3.353,3.0,100.05
237,0,3.368,3.0,97.02
238,0,3.383,3.0,135.01
239,0,3.399,3.0,126.01
240,0,3.414,3.0,142.5
241,0,3.429,3.0,121.75
242,0,3.444,3.0,85.88
243,0,3.45,0.0,0.000316025
244,0,3.459,3.0,53.44
245,0,3.475,3.0,41.22
246,0,3.49,3.0,30.11
247,0,3.505,3.0,16.05
248,0,3.52,3.0,38.53
249,0,3.536,3.0,157.76
250,0,3.551,3.0,137.88
251,0,3.566,3.0,136.44
252,0,3.581,3.0,131.22
253,0,3.597,3.0,109.11
254,0,3.612,3.0,105.06
255,0,3.627,3.0,119.03
256,0,3.642,3.0,127.51
257,0,3.657,2.0,84.18457605
