DrillName,DescriptionData,Well,Measurement,E,N,Depth
D-G01,0,1,,13.92265721,50.96582745,14
D-G02,0,1,,13.92291804,50.96581996,14
D-G03,0,1,,13.92315957,50.96584017,14
D-G04,0,1,,13.92342632,50.96584757,14
D-G04neu,0,1,,13.92341607,50.96584748,15.1
D-G05,0,1,,13.92267359,50.96592558,14
D-G10,0,1,,13.9233107,50.96607079,14
D-G11,0,1,,13.92386758,50.96573208,14
D-G12,0,1,,13.92328979,50.96567543,14
D-G13,0,1,,13.92281569,50.9656413,14
D-G15,0,1,,13.92417251,50.96559609,14
D-G15neu,0,1,,13.92283694,50.96558379,14
D-G17,0,1,,13.92363433,50.96550735,14
D-G17neu,0,1,,13.92365425,50.96550754,14
D-G19,0,1,,13.9231591,50.96542963,14
D-G21,0,1,,13.92263066,50.96533172,14
D-G21neu,0,1,,13.92261074,50.96533153,15
D-G23,0,1,,13.92242766,50.96618185,14
D-G24,0,1,,,,13.5
D-G25,0,1,,,,13.9
D-G26,0,1,,,,12.6
D-G27,0,1,,13.92487026,50.9657413,15.1
D-G28,0,1,,13.92452441,50.96573812,15.1
D-G29,0,1,,,,12.4
D-G30,0,1,,,,13
D-GWM1,1,1,,13.92375006,50.9659623,14
D-GWM2,1,1,,13.92377406,50.9659053,14
D-GWM3,1,1,,13.92376407,50.9658583,14
D-GWM4,1,1,,13.92383005,50.9658703,14
D-GWM5,1,1,,13.92377805,50.9658123,14
D-GWM6,1,1,,13.92382906,50.9658263,14
D-GWM7,1,1,,13.92390906,50.9658493,14
D-P12,0,1,,13.92386906,50.9658378,14.8
D-G5,0,0,1,,,
D-G2,0,0,1,,,
D-G3,0,0,1,,,
