WellID,CaseHeight,E,N,Type
G1,119.49,5424455.69,5648391.1,Well
G2,118.83,5424474.0,5648390.0,no existing well
G3,118.73,5424491.0,5648392.0,no existing well
G4,119.19,5424509.75,5648392.55,Well
G5,118.933,5424457.0,5648402.0,no existing well
G10,119.29,5424501.99,5648417.5,Well
G11,116.95,5424540.56,5648379.25,Well
G12,116.57,5424499.88,5648373.54,Well
G13,116.97,5424466.52,5648370.23,Well
G15,116.08,5424561.76,5648363.81,Well
G17,115.72,5424523.81,5648354.49,Well
G19,115.54,5424490.3,5648346.33,Well
G21,115.56,5424453.02,5648335.98,Well
G23,119.07,5424440.14,5648430.76,Well
GWM1,118.23,5424532.678,5648404.981,Well
GWM2,117.98,5424534.271,5648398.616,Well
GWM3,117.88,5424533.493,5648393.398,Well
GWM4,117.91,5424538.148,5648394.665,Well
GWM5,117.87,5424534.401,5648388.266,Well
GWM6,117.93,5424538.007,5648389.771,Well
GWM7,117.87,5424543.664,5648392.248,Well
