x,y,u,v
13.921922,50.964726,0.000123,-0.000742
13.921922,50.964817,0.0001,-0.000698
13.922065,50.964726,0.000155,-0.000794
13.922065,50.964817,9e-05,-0.00074
13.922065,50.964908,3e-05,-0.000703
13.922065,50.964999,3.2e-05,-0.00066
13.922065,50.96509,3.8e-05,-0.000646
13.922209,50.964817,0.000131,-0.000823
13.922209,50.964908,6.7e-05,-0.000736
13.922209,50.964999,-7e-06,-0.000679
13.922209,50.96509,-5.3e-05,-0.000663
13.922209,50.965181,-4e-05,-0.000627
13.922209,50.965272,-1e-05,-0.000617
13.922209,50.965363,2.4e-05,-0.000633
13.922352,50.964817,0.000205,-0.000872
13.922352,50.964908,0.000158,-0.000841
13.922352,50.964999,5.8e-05,-0.00078
13.922352,50.96509,-1.7e-05,-0.000679
13.922352,50.965181,-9.1e-05,-0.000617
13.922352,50.965272,-0.000123,-0.000613
13.922352,50.965363,-0.000109,-0.000599
13.922352,50.965454,-6e-05,-0.00059
13.922352,50.965545,-1.5e-05,-0.000608
13.922352,50.965636,4e-05,-0.000627
13.922496,50.964817,0.000248,-0.000888
13.922496,50.964908,0.000231,-0.000883
13.922496,50.964999,0.000196,-0.000855
13.922496,50.96509,0.000121,-0.000811
13.922496,50.965181,8e-06,-0.000733
13.922496,50.965272,-8.9e-05,-0.000636
13.922496,50.965363,-0.00015,-0.00057
13.922496,50.965454,-0.000176,-0.000558
13.922496,50.965545,-0.000164,-0.000565
13.922496,50.965636,-0.000114,-0.000566
13.922496,50.965727,-4.8e-05,-0.000586
13.922496,50.965818,8e-06,-0.000606
13.922496,50.965909,5.5e-05,-0.00062
13.922639,50.964817,0.000233,-0.000871
13.922639,50.964908,0.000259,-0.000894
13.922639,50.964999,0.000272,-0.000889
13.922639,50.96509,0.000244,-0.000866
13.922639,50.965181,0.000194,-0.000827
13.922639,50.965272,0.0001,-0.000772
13.922639,50.965363,-1.4e-05,-0.000686
13.922639,50.965454,-0.000123,-0.000603
13.922639,50.965545,-0.00018,-0.000546
13.922639,50.965636,-0.000199,-0.000511
13.922639,50.965727,-0.000174,-0.000521
13.922639,50.965818,-0.000118,-0.000548
13.922639,50.965909,-5.5e-05,-0.000569
13.922639,50.966,1.2e-05,-0.000581
13.922783,50.964908,0.000202,-0.000845
13.922783,50.964999,0.000226,-0.00087
13.922783,50.96509,0.000247,-0.000889
13.922783,50.965181,0.000243,-0.000877
13.922783,50.965272,0.000208,-0.000843
13.922783,50.965363,0.000149,-0.000793
