WellID,CaseHeight,Type,Depth,FilterTop,FilterBase,Lithology,geometry
G1,119.49,Well,,,,,POINT (13.922657213278466 50.96582744940444)
G2,118.83,borehole,,,,,POINT (13.922918038194185 50.96581996497987)
G3,118.73,borehole,,,,,POINT (13.9231595747739 50.96584016896833)
G4,119.19,Well,,,,,POINT (13.923426319435134 50.96584757021755)
G4neu,10.09,,,,,,POINT (13.923416072053742 50.96584747583352)
G5,118.933,borehole,,,,,POINT (13.92267359332574 50.96592558327141)
G10,119.29,Well,,,,,POINT (13.923310695120229 50.96607078712955)
G11,116.95,Well,,,,,POINT (13.923867582032845 50.96573207653724)
G12,116.57,Well,,,,,POINT (13.923289791993712 50.96567542689539)
G13,116.97,Well,,,,,POINT (13.922815686048652 50.965641304177936)
G15,116.08,Well,,,,,POINT (13.92417251299351 50.965596089451694)
G15neu,117.001,Well,,,,,POINT (13.922836944966503 50.965583789066734)
G17,115.72,Well,,,,,POINT (13.92363432794715 50.96550735481823)
G17neu,115.92,,,,,,POINT (13.923654253266982 50.96550753830378)
G19,115.54,Well,,,,,POINT (13.923159095705806 50.96542962522431)
G21,115.56,Well,,,,,POINT (13.922630664218737 50.96533171687347)
G21neu,116.46,,,,,,POINT (13.922610738980804 50.96533153321375)
G23,119.07,Well,,,,,POINT (13.922427657185162 50.96618184723356)
G27,118.33,,,,,,POINT (13.924870257763178 50.96574130360165)
G28,119.078,,,,,,POINT (13.924524409296922 50.96573812192442)
GWM1,118.23,Well,,,,,POINT (13.9237500616633 50.96596229703348)
GWM2,117.98,Well,,,,,POINT (13.923774055039074 50.96590530134488)
GWM3,117.88,Well,,,,,POINT (13.923764065105855 50.96585830342677)
GWM4,117.91,Well,,,,,POINT (13.923830054359556 50.96587030039837)
GWM5,117.87,Well,,,,,POINT (13.923778053279428 50.96581229936418)
GWM6,117.93,Well,,,,,POINT (13.923829063220358 50.96582629785651)
GWM7,117.87,Well,,,,,POINT (13.92390906229494 50.96584930077111)
